,0,1
downstream,14.0,1.75e-05
eastlake,2.0,2.5e-06
september,417.0,0.00052125
plan,100.0,0.000125
developed,189.0,0.00023625
restore,12.0,1.5e-05
original,276.0,0.000345
condition,46.0,5.75e-05
further,232.0,0.00029
action,101.0,0.00012625
against,649.0,0.00081125
parties,87.0,0.00010875
viewed,38.0,4.75e-05
sanctuary,14.0,1.75e-05
metropolitan,47.0,5.875e-05
minor,91.0,0.00011375
tributary,20.0,2.5e-05
rivers,31.0,3.875e-05
civil,158.0,0.0001975
parish,74.0,9.25e-05
aylesbury,1.0,1.25e-06
vale,8.0,1e-05
district,451.0,0.00056375
england,243.0,0.00030375
near,273.0,0.00034125
boundary,32.0,4e-05
toponym,1.0,1.25e-06
derived,49.0,6.125e-05
english,344.0,0.00043
ford,61.0,7.625e-05
roman,127.0,0.00015875
needed,333.0,0.00041625
road,334.0,0.0004175
traceable,1.0,1.25e-06
prefix,5.0,6.25e-06
added,119.0,0.00014875
differentiate,6.0,7.5e-06
places,103.0,0.00012875
called,470.0,0.0005875
evolved,21.0,2.625e-05
centuries,47.0,5.875e-05
domesday,8.0,1e-05
book,338.0,0.0004225
th,810.0,0.0010125
earliest,43.0,5.375e-05
known,727.0,0.00090875
record,267.0,0.00033375
time,1001.0,0.00125125
edward,66.0,8.25e-05
confessor,4.0,5e-06
reigned,2.0,2.5e-06
norman,21.0,2.625e-05
conquest,20.0,2.5e-05
one,1735.0,0.00216875
manors,3.0,3.75e-06
william,342.0,0.0004275
normandy,11.0,1.375e-05
granted,67.0,8.375e-05
robert,143.0,0.00017875
doyly,3.0,3.75e-06
built,345.0,0.00043125
oxford,39.0,4.875e-05
castle,129.0,0.00016125
assessed,11.0,1.375e-05
eight,168.0,0.00021
hides,10.0,1.25e-05
remained,174.0,0.0002175
family,595.0,0.00074375
until,570.0,0.0007125
passed,97.0,0.00012125
henry,84.0,0.000105
nephew,27.0,3.375e-05
thomas,142.0,0.0001775
beaumont,17.0,2.125e-05
earl,48.0,6e-05
warwick,7.0,8.75e-06
died,358.0,0.0004475
heirless,1.0,1.25e-06
leaving,84.0,0.000105
sister,112.0,0.00014
margaret,15.0,1.875e-05
whose,140.0,0.000175
marriage,90.0,0.0001125
du,35.0,4.375e-05
late,275.0,0.00034375
hugh,29.0,3.625e-05
seems,49.0,6.125e-05
exchange,65.0,8.125e-05
lands,29.0,3.625e-05
manor,37.0,4.625e-05
successive,19.0,2.375e-05
princes,16.0,2e-05
wales,96.0,0.00012
war,544.0,0.00068
middle,139.0,0.00017375
no,699.0,0.00087375
feudal,8.0,1e-05
overlordship,2.0,2.5e-06
present,155.0,0.00019375
house,466.0,0.0005825
bears,26.0,3.25e-05
date,115.0,0.00014375
stone,139.0,0.00017375
inscribed,8.0,1e-05
upper,70.0,8.75e-05
flight,31.0,3.875e-05
staircase,11.0,1.375e-05
early,490.0,0.0006125
pierced,2.0,2.5e-06
balusters,1.0,1.25e-06
details,37.0,4.625e-05
records,145.0,0.00018125
presumably,11.0,1.375e-05
recorded,189.0,0.00023625
again,249.0,0.00031125
destroyed,62.0,7.75e-05
isabel,5.0,6.25e-06
widow,21.0,2.625e-05
lord,90.0,0.0001125
church,346.0,0.0004325
saint,79.0,9.875e-05
giles,9.0,1.125e-05
south,630.0,0.0007875
doorway,3.0,3.75e-06
finely,1.0,1.25e-06
carved,20.0,2.5e-05
tympanum,2.0,2.5e-06
christ,36.0,4.5e-05
majesty,7.0,8.75e-06
chancel,7.0,8.75e-06
arch,14.0,1.75e-05
lancet,5.0,6.25e-06
window,28.0,3.5e-05
either,129.0,0.00016125
side,273.0,0.00034125
tower,72.0,9e-05
decorated,15.0,1.875e-05
gothic,18.0,2.25e-05
perpendicular,13.0,1.625e-05
windows,67.0,8.375e-05
reduced,38.0,4.75e-05
height,54.0,6.75e-05
almost,129.0,0.00016125
entirely,53.0,6.625e-05
rebuilt,18.0,2.25e-05
unusually,10.0,1.25e-05
features,168.0,0.00021
preserved,19.0,2.375e-05
replaced,130.0,0.0001625
apparently,25.0,3.125e-05
situ,5.0,6.25e-06
bells,5.0,6.25e-06
st,431.0,0.00053875
grade,32.0,4e-05
listed,119.0,0.00014875
mason,12.0,1.5e-05
priest,53.0,6.625e-05
he,5908.0,0.007385
puritan,1.0,1.25e-06
admired,4.0,5e-06
richard,73.0,9.125e-05
baxter,6.0,7.5e-06
wrote,244.0,0.000305
hymns,9.0,1.125e-05
anglican,12.0,1.5e-05
hymn,12.0,1.5e-05
how,177.0,0.00022125
shall,27.0,3.375e-05
sing,19.0,2.375e-05
last,357.0,0.00044625
life,365.0,0.00045625
masons,4.0,5e-06
mental,37.0,4.625e-05
health,169.0,0.00021125
deteriorated,7.0,8.75e-06
preached,4.0,5e-06
second,749.0,0.00093625
coming,61.0,7.625e-05
imminent,4.0,5e-06
claimed,105.0,0.00013125
prophet,13.0,1.625e-05
elijah,3.0,3.75e-06
raised,100.0,0.000125
dead,79.0,9.875e-05
days,218.0,0.0002725
death,331.0,0.00041375
hundreds,34.0,4.25e-05
followers,20.0,2.5e-05
flocked,2.0,2.5e-06
lived,128.0,0.00016
barns,1.0,1.25e-06
camped,6.0,7.5e-06
field,312.0,0.00039
awaiting,12.0,1.5e-05
may,952.0,0.00119
belief,20.0,2.5e-05
strong,124.0,0.000155
successor,34.0,4.25e-05
corpse,10.0,1.25e-05
exhumed,1.0,1.25e-06
disprove,3.0,3.75e-06
claim,63.0,7.875e-05
resurrection,7.0,8.75e-06
refused,71.0,8.875e-05
leave,94.0,0.0001175
stayed,45.0,5.625e-05
militia,22.0,2.75e-05
joseph,107.0,0.00013375
scholar,35.0,4.375e-05
author,83.0,0.00010375
dictionary,28.0,3.5e-05
professor,130.0,0.0001625
university,758.0,0.0009475
recent,78.0,9.75e-05
residents,56.0,7e-05
paul,124.0,0.000155
magician,2.0,2.5e-06
peter,98.0,0.0001225
actor,63.0,7.875e-05
yana,1.0,1.25e-06
s,809.0,0.00101125
singer,88.0,0.00011
real,136.0,0.00017
guard,73.0,9.125e-05
media,205.0,0.00025625
related,115.0,0.00014375
commons,55.0,6.875e-05
new,1483.0,0.00185375
zealand,99.0,0.00012375
tribal,15.0,1.875e-05
leader,104.0,0.00013
teacher,66.0,8.25e-05
assessor,1.0,1.25e-06
descent,27.0,3.375e-05
identified,67.0,8.375e-05
te,27.0,3.375e-05
ati,4.0,5e-06
lover,16.0,2e-05
single,323.0,0.00040375
hard,60.0,7.5e-05
rock,198.0,0.0002475
band,373.0,0.00046625
released,545.0,0.00068125
august,416.0,0.00052
studio,134.0,0.0001675
album,476.0,0.000595
music,549.0,0.00068625
another,348.0,0.000435
dimension,17.0,2.125e-05
song,349.0,0.00043625
floated,5.0,6.25e-06
premiered,44.0,5.5e-05
radio,200.0,0.00025
stations,103.0,0.00012875
america,167.0,0.00020875
week,125.0,0.00015625
officially,85.0,0.00010625
november,389.0,0.00048625
notable,101.0,0.00012625
featuring,55.0,6.875e-05
songwriting,11.0,1.375e-05
debut,177.0,0.00022125
jesse,8.0,1e-05
sky,25.0,3.125e-05
son,329.0,0.00041125
joey,10.0,1.25e-05
marco,17.0,2.125e-05
moir,1.0,1.25e-06
brad,10.0,1.25e-05
guitar,103.0,0.00012875
technician,3.0,3.75e-06
january,491.0,0.00061375
announced,214.0,0.0002675
downloadable,4.0,5e-06
content,76.0,9.5e-05
five,311.0,0.00038875
songs,212.0,0.000265
greatest,56.0,7e-05
pack,2.0,2.5e-06
el,62.0,7.75e-05
loser,3.0,3.75e-06
spanish,126.0,0.0001575
sex,35.0,4.375e-05
love,183.0,0.00022875
serves,59.0,7.375e-05
opening,101.0,0.00012625
theme,54.0,6.75e-05
mexican,83.0,0.00010375
lo,9.0,1.125e-05
que,2.0,2.5e-06
la,237.0,0.00029625
me,130.0,0.0001625
fifth,78.0,9.75e-05
chosen,65.0,8.125e-05
del,42.0,5.25e-05
amor,4.0,5e-06
por,1.0,1.25e-06
united,732.0,0.000915
states,682.0,0.0008525
mexico,125.0,0.00015625
october,439.0,0.00054875
latin,89.0,0.00011125
countries,217.0,0.00027125
composed,121.0,0.00015125
bueno,1.0,1.25e-06
reports,67.0,8.375e-05
said,339.0,0.00042375
ago,27.0,3.375e-05
lot,94.0,0.0001175
saved,22.0,2.75e-05
